sent_id,文字,バイト(hex),エントロピー(bits),H(=sum/√ℓ),備考
0,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
0,"""",22,4.756385,4.756385,先頭文字: 1番目entは<BOS>(e[0])と同値＝BOS項
0,W,57,4.711301,4.711301,
0,e,65,1.927350,1.927350,
0, ,20,2.502174,2.502174,
0,n,6E,4.080122,4.080122,
0,o,6F,0.526922,0.526922,
0,w,77,1.600490,1.600490,
0, ,20,0.445207,0.445207,
0,h,68,3.674364,3.674364,
0,a,61,1.048208,1.048208,
0,v,76,1.059479,1.059479,
0,e,65,0.000418,0.000418,
0, ,20,0.040858,0.040858,
0,4,34,1.442695,1.442695,
0,-,2D,2.389464,2.389464,
0,m,6D,4.260459,4.260459,
0,o,6F,1.882266,1.882266,
0,n,6E,0.010963,0.010963,
0,t,74,0.070092,0.070092,
0,h,68,0.000060,0.000060,
0,-,2D,1.200367,1.200367,
0,o,6F,0.357856,0.357856,
0,l,6C,0.063047,0.063047,
0,d,64,0.000255,0.000255,
0, ,20,0.329678,0.329678,
0,m,6D,3.403859,3.403859,
0,i,69,1.020030,1.020030,
0,c,63,1.949893,1.949893,
0,e,65,1.036937,1.036937,
0, ,20,1.566677,1.566677,
0,t,74,3.336232,3.336232,
0,h,68,0.963675,0.963675,
0,a,61,1.386340,1.386340,
0,t,74,0.039977,0.039977,
0, ,20,0.510015,0.510015,
0,a,61,4.237917,4.237917,
0,r,72,1.870995,1.870995,
0,e,65,0.150046,0.150046,
0, ,20,0.363492,0.363492,
0,n,6E,4.418254,4.418254,
0,o,6F,1.144012,1.144012,
0,n,6E,1.391975,1.391975,
0,-,2D,2.085145,2.085145,
0,d,64,4.463338,4.463338,
0,i,69,2.276753,2.276753,
0,a,61,1.893537,1.893537,
0,b,62,2.164043,2.164043,
0,e,65,0.873507,0.873507,
0,t,74,0.000158,0.000158,
0,i,69,0.040858,0.040858,
0,c,63,0.015498,0.015498,
0, ,20,1.611761,1.611761,
0,t,74,3.200980,3.200980,
0,h,68,0.679081,0.679081,
0,a,61,1.267994,1.267994,
0,t,74,0.021838,0.021838,
0, ,20,0.046845,0.046845,
0,u,75,3.877243,3.877243,
0,s,73,2.096416,2.096416,
0,e,65,1.679387,1.679387,
0,d,64,1.611761,1.611761,
0, ,20,0.067979,0.067979,
0,t,74,1.611761,1.611761,
0,o,6F,0.070444,0.070444,
0, ,20,0.016378,0.016378,
0,b,62,4.057580,4.057580,
0,e,65,1.532863,1.532863,
0, ,20,2.310566,2.310566,
0,d,64,4.418254,4.418254,
0,i,69,2.355650,2.355650,
0,a,61,1.961164,1.961164,
0,b,62,0.941133,0.941133,
0,e,65,0.718530,0.718530,
0,t,74,0.001739,0.001739,
0,i,69,0.712894,0.712894,
0,c,63,0.194426,0.194426,
0,",",2C,1.916079,1.916079,
0,"""",22,0.642450,0.642450,
0, ,20,0.039977,0.039977,
0,h,68,3.494027,3.494027,
0,e,65,0.369127,0.369127,
0, ,20,0.388851,0.388851,
0,a,61,2.829035,2.829035,
0,d,64,2.175314,2.175314,
0,d,64,1.335620,1.335620,
0,e,65,1.437060,1.437060,
0,d,64,0.075023,0.075023,
0,.,2E,1.324349,1.324349,
0,<EOS>,,0.839694,,末バイト→EOS

1,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
1,D,44,4.756385,4.756385,先頭文字: 1番目entは<BOS>(e[0])と同値＝BOS項
1,r,72,3.088269,3.088269,
1,.,2E,3.020643,3.020643,
1, ,20,0.845329,0.845329,
1,E,45,4.395711,4.395711,
1,h,68,3.223522,3.223522,
1,u,75,2.806493,2.806493,
1,d,64,1.825911,1.825911,
1, ,20,0.274732,0.274732,
1,U,55,4.508422,4.508422,
1,r,72,2.975559,2.975559,
1,",",2C,3.426401,3.426401,
1, ,20,0.009774,0.009774,
1,p,70,3.944869,3.944869,
1,r,72,1.087657,1.087657,
1,o,6F,1.307442,1.307442,
1,f,66,0.555099,0.555099,
1,e,65,0.121164,0.121164,
1,s,73,0.022366,0.022366,
1,s,73,0.000271,0.000271,
1,o,6F,0.929862,0.929862,
1,r,72,0.000837,0.000837,
1, ,20,0.083828,0.083828,
1,o,6F,2.953016,2.953016,
1,f,66,0.024832,0.024832,
1, ,20,0.001629,0.001629,
1,m,6D,4.508422,4.508422,
1,e,65,1.623032,1.623032,
1,d,64,0.274732,0.274732,
1,i,69,0.024127,0.024127,
1,c,63,0.100735,0.100735,
1,i,69,0.535375,0.535375,
1,n,6E,0.001051,0.001051,
1,e,65,0.019196,0.019196,
1, ,20,0.726983,0.726983,
1,a,61,1.132741,1.132741,
1,t,74,0.321225,0.321225,
1, ,20,0.010831,0.010831,
1,D,44,2.885390,2.885390,
1,a,61,1.825911,1.825911,
1,l,6C,0.738254,0.738254,
1,h,68,2.524716,2.524716,
1,o,6F,0.137366,0.137366,
1,u,75,1.003124,1.003124,
1,s,73,0.419847,0.419847,
1,i,69,0.001035,0.001035,
1,e,65,0.000252,0.000252,
1, ,20,0.073614,0.073614,
1,U,55,0.383216,0.383216,
1,n,6E,0.042619,0.042619,
1,i,69,0.000837,0.000837,
1,v,76,0.001392,0.001392,
1,e,65,0.000859,0.000859,
1,r,72,0.001398,0.001398,
1,s,73,0.000156,0.000156,
1,i,69,0.000133,0.000133,
1,t,74,0.000300,0.000300,
1,y,79,0.009334,0.009334,
1, ,20,1.053844,1.053844,
1,i,69,1.961164,1.961164,
1,n,6E,0.980582,0.980582,
1, ,20,0.048606,0.048606,
1,H,48,4.463338,4.463338,
1,a,61,1.453966,1.453966,
1,l,6C,2.389464,2.389464,
1,i,69,0.726983,0.726983,
1,f,66,0.013120,0.013120,
1,a,61,0.002388,0.002388,
1,x,78,0.142297,0.142297,
1,",",2C,0.051776,0.051776,
1, ,20,0.030995,0.030995,
1,N,4E,0.263461,0.263461,
1,o,6F,0.845329,0.845329,
1,v,76,0.436753,0.436753,
1,a,61,0.002047,0.002047,
1, ,20,0.002840,0.002840,
1,S,53,0.391669,0.391669,
1,c,63,0.002146,0.002146,
1,o,6F,0.001194,0.001194,
1,t,74,0.004909,0.004909,
1,i,69,0.000041,0.000041,
1,a,61,0.000289,0.000289,
1, ,20,1.008759,1.008759,
1,a,61,2.276753,2.276753,
1,n,6E,1.172190,1.172190,
1,d,64,0.029058,0.029058,
1, ,20,0.029587,0.029587,
1,c,63,4.440796,4.440796,
1,h,68,1.859724,1.859724,
1,a,61,0.834058,0.834058,
1,i,69,0.856600,0.856600,
1,r,72,0.000487,0.000487,
1, ,20,1.160919,1.160919,
1,o,6F,0.541011,0.541011,
1,f,66,0.042443,0.042443,
1, ,20,0.003830,0.003830,
1,t,74,3.110811,3.110811,
1,h,68,0.092986,0.092986,
1,e,65,0.033813,0.033813,
1, ,20,0.014969,0.014969,
1,c,63,4.869096,4.869096,
1,l,6C,2.141500,2.141500,
1,i,69,0.788974,0.788974,
1,n,6E,0.008894,0.008894,
1,i,69,0.001453,0.001453,
1,c,63,0.002102,0.002102,
1,a,61,0.331087,0.331087,
1,l,6C,0.004799,0.004799,
1, ,20,0.133139,0.133139,
1,a,61,3.020643,3.020643,
1,n,6E,1.194732,1.194732,
1,d,64,0.388851,0.388851,
1, ,20,0.007353,0.007353,
1,s,73,3.899785,3.899785,
1,c,63,2.705053,2.705053,
1,i,69,1.386340,1.386340,
1,e,65,0.012592,0.012592,
1,n,6E,0.010655,0.010655,
1,t,74,0.176815,0.176815,
1,i,69,0.000592,0.000592,
1,f,66,0.027825,0.027825,
1,i,69,0.000826,0.000826,
1,c,63,0.001018,0.001018,
1, ,20,0.304318,0.304318,
1,d,64,3.088269,3.088269,
1,i,69,0.195835,0.195835,
1,v,76,1.780827,1.780827,
1,i,69,0.470567,0.470567,
1,s,73,0.084885,0.084885,
1,i,69,0.013825,0.013825,
1,o,6F,0.002058,0.002058,
1,n,6E,0.001882,0.001882,
1, ,20,0.867871,0.867871,
1,o,6F,2.378193,2.378193,
1,f,66,0.081363,0.081363,
1, ,20,0.003368,0.003368,
1,t,74,1.453966,1.453966,
1,h,68,0.007705,0.007705,
1,e,65,0.036631,0.036631,
1, ,20,0.016202,0.016202,
1,C,43,4.080122,4.080122,
1,a,61,1.837182,1.837182,
1,n,6E,0.611455,0.611455,
1,a,61,0.053538,0.053538,
1,d,64,0.003192,0.003192,
1,i,69,0.204288,0.204288,
1,a,61,0.021662,0.021662,
1,n,6E,0.001040,0.001040,
1, ,20,0.016642,0.016642,
1,D,44,3.696906,3.696906,
1,i,69,0.250781,0.250781,
1,a,61,2.186585,2.186585,
1,b,62,1.239816,1.239816,
1,e,65,0.005812,0.005812,
1,t,74,0.000292,0.000292,
1,e,65,0.239510,0.239510,
1,s,73,0.001211,0.001211,
1, ,20,0.007573,0.007573,
1,A,41,0.884778,0.884778,
1,s,73,0.035750,0.035750,
1,s,73,0.000259,0.000259,
1,o,6F,0.002477,0.002477,
1,c,63,0.000204,0.000204,
1,i,69,0.002047,0.002047,
1,a,61,0.001156,0.001156,
1,t,74,0.003016,0.003016,
1,i,69,0.021397,0.021397,
1,o,6F,0.000704,0.000704,
1,n,6E,0.001128,0.001128,
1, ,20,1.521592,1.521592,
1,c,63,1.098928,1.098928,
1,a,61,2.490903,2.490903,
1,u,75,1.972435,1.972435,
1,t,74,0.698805,0.698805,
1,i,69,0.004843,0.004843,
1,o,6F,0.010567,0.010567,
1,n,6E,0.176815,0.176815,
1,e,65,1.149648,1.149648,
1,d,64,0.106371,0.106371,
1, ,20,0.128208,0.128208,
1,t,74,1.690658,1.690658,
1,h,68,0.566371,0.566371,
1,a,61,0.336723,0.336723,
1,t,74,0.000164,0.000164,
1, ,20,0.070092,0.070092,
1,t,74,3.606738,3.606738,
1,h,68,0.126799,0.126799,
1,e,65,0.239510,0.239510,
1, ,20,1.070750,1.070750,
1,r,72,4.869096,4.869096,
1,e,65,1.611761,1.611761,
1,s,73,2.400735,2.400735,
1,e,65,1.408882,1.408882,
1,a,61,0.039625,0.039625,
1,r,72,0.002719,0.002719,
1,c,63,0.000223,0.000223,
1,h,68,0.000015,0.000015,
1, ,20,0.557917,0.557917,
1,i,69,3.741990,3.741990,
1,s,73,1.115834,1.115834,
1, ,20,0.098622,0.098622,
1,s,73,3.989953,3.989953,
1,t,74,2.817764,2.817764,
1,i,69,2.028790,2.028790,
1,l,6C,0.177519,0.177519,
1,l,6C,0.000148,0.000148,
1, ,20,0.063752,0.063752,
1,i,69,4.192832,4.192832,
1,n,6E,0.839694,0.839694,
1, ,20,2.028790,2.028790,
1,i,69,3.471485,3.471485,
1,t,74,1.893537,1.893537,
1,s,73,0.003544,0.003544,
1, ,20,0.603001,0.603001,
1,e,65,4.260459,4.260459,
1,a,61,2.434548,2.434548,
1,r,72,0.028354,0.028354,
1,l,6C,0.104962,0.104962,
1,y,79,0.092986,0.092986,
1, ,20,0.037159,0.037159,
1,d,64,1.983706,1.983706,
1,a,61,0.154273,0.154273,
1,y,79,0.016554,0.016554,
1,s,73,0.008321,0.008321,
1,.,2E,1.296171,1.296171,
1,<EOS>,,0.952404,,末バイト→EOS

2,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
2,L,4C,4.756385,4.756385,先頭文字: 1番目entは<BOS>(e[0])と同値＝BOS項
2,i,69,3.043185,3.043185,
2,k,6B,3.741990,3.741990,
2,e,65,0.845329,0.845329,
2, ,20,0.546646,0.546646,
2,s,73,4.530964,4.530964,
2,o,6F,3.246064,3.246064,
2,m,6D,0.162021,0.162021,
2,e,65,0.000509,0.000509,
2, ,20,1.403246,1.403246,
2,o,6F,2.998101,2.998101,
2,t,74,0.963675,0.963675,
2,h,68,0.018227,0.018227,
2,e,65,0.205697,0.205697,
2,r,72,0.000094,0.000094,
2, ,20,0.165544,0.165544,
2,e,65,4.711301,4.711301,
2,x,78,3.336232,3.336232,
2,p,70,2.513445,2.513445,
2,e,65,1.938621,1.938621,
2,r,72,1.296171,1.296171,
2,t,74,0.439571,0.439571,
2,s,73,1.098928,1.098928,
2,",",2C,1.087657,1.087657,
2, ,20,0.011183,0.011183,
2,h,68,4.824012,4.824012,
2,e,65,2.378193,2.378193,
2, ,20,1.679387,1.679387,
2,i,69,3.471485,3.471485,
2,s,73,0.130322,0.130322,
2, ,20,0.063400,0.063400,
2,s,73,2.806493,2.806493,
2,k,6B,3.043185,3.043185,
2,e,65,0.297274,0.297274,
2,p,70,1.177825,1.177825,
2,t,74,0.001370,0.001370,
2,i,69,0.005591,0.005591,
2,c,63,0.002554,0.002554,
2,a,61,0.081011,0.081011,
2,l,6C,0.000449,0.000449,
2, ,20,0.980582,0.980582,
