sent_id,文字,バイト(hex),エントロピー(bits),H(=sum/√ℓ),備考
0,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
0,「,E3 80 8C,4.756385 1.735742 1.611761,4.678782,先頭文字: 1番目entは<BOS>行(e[0])と同値＝BOS項
0,我,E6 88 91,3.832159 4.801469 2.164043,6.234038,
0,々,E3 80 85,1.499050 0.839694 0.020693,1.362222,
0,が,E3 81 8C,2.502174 0.980582 2.062603,3.201615,
0,飼,E9 A3 BC,2.840306 3.809617 1.442695,4.672275,
0,っ,E3 81 A3,0.850965 0.163430 1.386340,1.386065,
0,て,E3 81 A6,0.000919 0.003082 0.028706,0.018883,
0,い,E3 81 84,0.138070 0.597366 0.555099,0.745091,
0,る,E3 82 8B,0.002190 0.563553 0.493109,0.611328,
0,生,E7 94 9F,2.344379 4.260459 1.949893,4.939076,
0,後,E5 BE 8C,2.073874 1.577948 0.012944,2.115854,
0,4,34,2.412006,2.412006,
0,か,E3 81 8B,1.747014 1.296171 0.828423,2.235274,
0,月,E6 9C 88,0.569188 0.054242 0.000721,0.360354,
0,の,E3 81 AE,0.625544 0.952404 1.453966,1.750476,
0,マ,E3 83 9E,2.682511 1.803369 4.801469,5.362054,
0,ウ,E3 82 A6,0.003302 0.907320 2.175314,1.781666,
0,ス,E3 82 B9,0.020253 0.986217 0.131026,0.656734,
0,は,E3 81 AF,0.115528 0.907320 2.659969,2.126276,
0,か,E3 81 8B,2.141500 1.296171 4.102664,4.353415,
0,つ,E3 81 A4,0.021309 0.495926 2.479632,1.730242,
0,て,E3 81 A6,0.089464 0.043499 0.002003,0.077923,
0,糖,E7 B3 96,1.882266 4.440796 1.437060,4.480308,
0,尿,E5 B0 BF,1.848453 0.128208 0.001541,1.142116,
0,病,E7 97 85,0.000215 0.015145 0.000084,0.008916,
0,で,E3 81 A7,1.499050 0.856600 2.614885,2.869740,
0,し,E3 81 97,1.420153 1.245452 2.412006,2.931560,
0,た,E3 81 9F,0.026769 0.245145 1.375069,0.950886,
0,が,E3 81 8C,0.329678 0.805880 2.085145,1.859474,
0,現,E7 8F BE,0.552282 4.305543 0.164135,2.899430,
0,在,E5 9C A8,0.693170 0.167657 0.131026,0.572647,
0,は,E3 81 AF,1.420153 0.811516 2.953016,2.993379,
0,糖,E7 B3 96,2.817764 3.854701 0.045084,3.878379,
0,尿,E5 B0 BF,0.301501 0.007529 0.000091,0.178471,
0,病,E7 97 85,0.000787 0.000208 0.000014,0.000582,
0,で,E3 81 A7,1.082021 0.980582 3.065727,2.960843,
0,は,E3 81 AF,1.284900 0.487473 2.659969,2.559014,
0,な,E3 81 AA,1.972435 0.185972 0.445207,1.503197,
0,い,E3 81 84,0.007309 0.002388 0.721348,0.422069,
0,、,E3 80 81,0.850965 1.127106 1.076386,1.763491,
0,」,E3 80 8D,2.412006 1.222909 1.904808,3.198361,
0,と,E3 81 A8,2.028790 0.504380 1.036937,2.061202,
0,彼,E5 BD BC,2.333108 5.162143 1.206003,5.023672,
0,は,E3 81 AF,0.907320 0.679081 1.837182,1.976607,
0,付,E4 BB 98,1.735742 2.062603 0.405758,2.427240,
0,け,E3 81 91,0.023599 0.000290 1.679387,0.983387,
0,加,E5 8A A0,1.882266 0.673446 0.027297,1.491301,
0,え,E3 81 88,0.001046 0.001046 0.000517,0.001506,
0,ま,E3 81 BE,0.088760 0.884778 1.031302,1.157494,
0,し,E3 81 97,0.004667 0.006824 0.173292,0.106685,
0,た,E3 81 9F,0.011623 0.022278 0.044204,0.045094,
0,。,E3 80 82,0.173292 0.212741 0.013032,0.230401,
0,<EOS>,,2.907932,,末バイト→EOS の予測

1,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
1,ノ,E3 83 8E,4.756385 1.735742 5.139601,6.715582,先頭文字: 1番目entは<BOS>行(e[0])と同値＝BOS項
1,バ,E3 83 90,0.029763 0.805880 3.110811,2.278486,
1,ス,E3 82 B9,1.070750 0.946769 1.487779,2.023785,
1,コ,E3 82 B3,1.437060 0.462113 1.369433,1.887131,
1,シ,E3 82 B7,0.014265 0.028882 0.577642,0.358412,
1,ア,E3 82 A2,0.018580 0.020253 0.295865,0.193238,
1,州,E5 B7 9E,1.690658 2.716324 0.023599,2.557997,
1,ハ,E3 83 8F,2.186585 1.048208 4.711301,4.587679,
1,リ,E3 83 AA,0.022190 0.974946 4.080122,2.931356,
1,フ,E3 83 95,0.300092 1.008759 3.584195,2.825002,
1,ァ,E3 82 A1,0.030115 0.772067 0.009334,0.468529,
1,ッ,E3 83 83,1.882266 1.313078 2.265482,3.152809,
1,ク,E3 82 AF,0.002818 0.017699 1.499050,0.877323,
1,ス,E3 82 B9,0.123277 0.064809 0.000255,0.108738,
1,に,E3 81 AB,2.783951 0.828423 1.837182,3.146302,
1,あ,E3 81 82,2.141500 0.120459 1.690658,2.282045,
1,る,E3 82 8B,0.004777 0.414211 0.126799,0.315111,
1,ダ,E3 83 80,3.065727 1.600490 4.733843,5.427127,
1,ル,E3 83 AB,0.005988 0.980582 4.125206,2.951285,
1,ハ,E3 83 8F,0.015410 1.020030 1.155283,1.264815,
1,ウ,E3 82 A6,0.025360 0.963675 3.110811,2.367047,
1,ジ,E3 82 B8,2.231669 1.414517 2.829035,3.738471,
1,ー,E3 83 BC,0.054242 0.257825 2.366922,1.546715,
1,大,E5 A4 A7,2.096416 3.448943 0.144410,3.284990,
1,学,E5 AD A6,2.321837 0.171884 0.063752,1.476558,
1,医,E5 8C BB,2.164043 3.674364 0.194426,3.483057,
1,学,E5 AD A6,0.766432 0.001271 0.000004,0.443236,
1,部,E9 83 A8,0.397305 0.020957 0.088407,0.292526,
1,教,E6 95 99,1.701929 1.690658 0.007793,1.963211,
1,授,E6 8E 88,0.100735 0.004975 0.001013,0.061616,
1,で,E3 81 A7,1.972435 1.228545 0.408576,2.083978,
1,カ,E3 82 AB,0.175406 0.574824 3.313690,2.346305,
1,ナ,E3 83 8A,0.056003 0.588913 2.479632,1.803959,
1,ダ,E3 83 80,0.017963 0.228239 0.291639,0.310522,
1,糖,E7 B3 96,2.152772 4.373169 0.059525,3.802121,
1,尿,E5 B0 BF,0.603001 0.297274 0.001310,0.520531,
1,病,E7 97 85,0.001315 0.033813 0.000052,0.020311,
1,協,E5 8D 94,2.400735 2.490903 0.156386,2.914478,
1,会,E4 BC 9A,0.417029 0.143002 0.000355,0.323539,
1,の,E3 81 AE,2.682511 0.639632 1.735742,2.920172,
1,臨,E8 87 A8,2.592343 2.344379 0.507197,3.143048,
1,床,E5 BA 8A,0.173997 0.006648 0.000055,0.104327,
1,・,E3 83 BB,2.062603 1.189096 3.809617,4.076853,
1,科,E7 A7 91,2.975559 3.674364 0.194426,3.951586,
1,学,E5 AD A6,0.019460 0.000263 0.000069,0.011427,
1,部,E9 83 A8,2.220398 0.670628 0.002311,1.670469,
1,門,E9 96 80,1.408882 0.912955 0.001849,1.341581,
1,の,E3 81 AE,2.118958 1.623032 1.848453,3.227644,
1,責,E8 B2 AC,2.840306 3.200980 0.636815,3.855603,
1,任,E4 BB BB,0.112711 0.000002 0.000015,0.065083,
1,者,E8 80 85,1.138377 0.001123 0.033461,0.677209,
1,を,E3 82 92,0.879142 1.589219 0.726983,1.844833,
1,務,E5 8B 99,0.608637 0.012240 0.023423,0.371986,
1,め,E3 82 81,0.003764 0.000098 0.000168,0.002327,
1,る,E3 82 8B,0.005195 1.065115 0.012504,0.625163,
1,エ,E3 82 A8,1.262358 0.907320 4.170290,3.660382,
1,フ,E3 83 95,0.000991 0.566371 3.043185,2.084550,
1,ー,E3 83 BC,0.077841 0.924227 3.877243,2.817071,
1,ド,E3 83 89,0.009114 0.339541 1.110199,0.842269,
1,・,E3 83 BB,0.205697 0.014177 0.000129,0.127018,
1,ウ,E3 82 A6,0.030115 0.907320 3.787074,2.727697,
1,ル,E3 83 AB,0.001640 0.907320 1.972435,1.663574,
1,博,E5 8D 9A,0.079602 1.769556 0.102848,1.126991,
1,士,E5 A3 AB,0.005591 0.000064 0.006868,0.007231,
1,は,E3 81 AF,0.298683 0.350812 1.611761,1.305536,
1,、,E3 80 81,1.273629 0.552282 0.099326,1.111536,
1,こ,E3 81 93,2.603614 1.566677 3.155895,4.229775,
1,の,E3 81 AE,0.002433 0.183155 0.431118,0.356055,
1,研,E7 A0 94,1.769556 1.938621 0.004161,2.143319,
1,究,E7 A9 B6,0.129617 0.000006 0.000030,0.074855,
1,は,E3 81 AF,1.735742 0.755161 2.141500,2.674519,
1,ま,E3 81 BE,2.524716 1.949893 4.035038,4.913047,
1,だ,E3 81 A0,0.001420 0.603001 2.750137,1.936755,
1,初,E5 88 9D,2.772680 4.305543 1.701929,5.069223,
1,期,E6 9C 9F,1.228545 1.437060 0.004315,1.541479,
1,段,E6 AE B5,0.563553 2.907932 0.000490,2.004546,
1,階,E9 9A 8E,0.013296 0.000088 0.000173,0.007827,
1,に,E3 81 AB,0.100031 0.162021 1.724471,1.146920,
1,あ,E3 81 82,2.265482 0.464931 2.727595,3.151183,
1,る,E3 82 8B,0.002289 0.907320 1.200367,1.218196,
1,と,E3 81 A8,1.679387 1.859724 3.110811,3.839335,
1,し,E3 81 97,1.983706 0.439571 2.806493,3.019409,
1,て,E3 81 A6,0.004843 0.712894 0.383216,0.635636,
1,注,E6 B3 A8,1.690658 3.832159 0.064104,3.225610,
1,意,E6 84 8F,0.394487 0.224012 0.022542,0.370105,
1,を,E3 82 92,0.873507 1.093292 0.076432,1.179660,
1,促,E4 BF 83,1.352527 1.025666 0.020517,1.384896,
1,し,E3 81 97,0.015234 0.000581 0.726983,0.428854,
1,ま,E3 81 BE,0.087703 0.707259 1.194732,1.148750,
1,し,E3 81 97,0.002333 0.079954 0.591730,0.389144,
1,た,E3 81 9F,0.019989 0.038568 0.003742,0.035968,
1,。,E3 80 82,0.198652 0.380398 0.004557,0.336946,
1,<EOS>,,2.851577,,末バイト→EOS の予測

2,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
2,他,E4 BB 96,4.756385 2.333108 3.674364,6.214516,先頭文字: 1番目entは<BOS>行(e[0])と同値＝BOS項
2,の,E3 81 AE,0.355038 0.222603 0.383216,0.554751,
2,専,E5 B0 82,0.557917 3.967411 1.713200,3.601816,
2,門,E9 96 80,0.884778 0.033813 0.000142,0.530431,
2,家,E5 AE B6,2.310566 1.758285 0.008057,2.353804,
2,た,E3 81 9F,1.634303 0.580459 1.262358,2.007516,
2,ち,E3 81 A1,0.001783 0.004953 0.005856,0.007270,
2,と,E3 81 A8,2.242940 1.155283 1.420153,2.781891,
2,同,E5 90 8C,0.414211 3.944869 0.653721,2.894142,
2,様,E6 A7 98,1.668116 0.300092 0.000348,1.136546,
