sent_id,文字,バイト(hex),エントロピー(bits),H(=sum/√ℓ),備考
0,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
0,"""",22,4.756385,4.756385,先頭文字: 1番目entは<BOS>(e[0])と同値＝BOS項
0,그,EA B7 B8,4.711301 3.403859 0.343767,4.883764,
0,는,EB 8A 94,1.346891 3.561653 1.149648,3.497699,
0, ,20,0.187381,0.187381,
0,"""",22,1.724471,1.724471,
0,"""",22,0.873507,0.873507,
0,현,ED 98 84,1.053844 2.535987 3.088269,3.855603,
0,재,EC 9E AC,1.532863 2.220398 0.003896,2.169196,
0, ,20,1.465237,1.465237,
0,4,34,2.366922,2.366922,
0,개,EA B0 9C,2.705053 1.870995 0.216968,2.767249,
0,월,EC 9B 94,0.322634 0.681899 0.001651,0.580920,
0, ,20,1.110199,1.110199,
0,된,EB 90 9C,0.884778 2.434548 2.062603,3.107258,
0, ,20,0.020429,0.020429,
0,당,EB 8B B9,2.073874 4.170290 1.228545,4.314371,
0,뇨,EB 87 A8,0.328269 1.087657 0.710076,1.227448,
0,병,EB B3 91,1.589219 1.284900 0.024655,1.673608,
0,에,EC 97 90,1.222909 2.637427 0.094395,2.283265,
0,서,EC 84 9C,0.605819 0.014705 0.003324,0.360179,
0, ,20,0.276141,0.276141,
0,치,EC B9 98,2.130229 4.215375 1.160919,4.333893,
0,료,EB A3 8C,0.473384 0.057764 0.000501,0.306948,
0,된,EB 90 9C,1.690658 1.623032 1.656845,2.869740,
0, ,20,0.867871,0.867871,
0,생,EC 83 9D,2.073874 4.215375 1.104563,4.268819,
0,쥐,EC A5 90,1.623032 2.738866 0.380398,2.737966,
0,가,EA B0 80,1.983706 2.040061 0.179632,2.426834,
0, ,20,0.834058,0.834058,
0,있,EC 9E 88,1.904808 4.485880 2.209127,4.965105,
0,다,EB 8B A4,0.896049 1.206003 0.002664,1.215158,
0,"""",22,1.792098,1.792098,
0,"""",22,1.972435,1.972435,
0,고,EA B3 A0,2.389464 2.592343 1.690658,3.852349,
0, ,20,0.138070,0.138070,
0,덧,EB 8D A7,1.792098 2.975559 1.577948,3.663636,
0,붙,EB B6 99,0.318407 0.017875 0.000252,0.194298,
0,였,EC 98 80,0.007881 1.082021 0.010170,0.635127,
0,다,EB 8B A4,0.529740 0.281776 0.000980,0.469095,
0,.,2E,0.152864,0.152864,
0,"""",22,0.783338,0.783338,
0,<EOS>,,3.110811,,末バイト→EOS

1,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
1,노,EB 85 B8,4.756385 4.801469 0.710076,5.928193,先頭文字: 1番目entは<BOS>(e[0])と同値＝BOS項
1,바,EB B0 94,1.465237 4.328085 1.059479,3.956467,
1,스,EC 8A A4,2.333108 3.088269 0.586095,3.468416,
1,코,EC BD 94,1.589219 1.042573 0.181746,1.624396,
1,샤,EC 83 A4,2.006248 3.674364 0.059525,3.314070,
1,주,EC A3 BC,1.916079 2.783951 0.001057,2.714174,
1, ,20,1.724471,1.724471,
1,핼,ED 95 BC,2.457090 3.832159 3.110811,5.427127,
1,리,EB A6 AC,1.994977 3.922327 0.543828,3.730336,
1,팩,ED 8C A9,2.310566 2.434548 2.783951,4.346908,
1,스,EC 8A A4,1.510321 0.157090 0.001959,0.963812,
1,의,EC 9D 98,0.862236 2.851577 0.214150,2.267810,
1, ,20,0.061639,0.061639,
1,댈,EB 8C 88,2.096416 4.328085 0.380398,3.928811,
1,하,ED 95 98,1.397611 1.341256 0.760796,2.020531,
1,우,EC 9A B0,0.783338 1.414517 0.039449,1.291708,
1,지,EC A7 80,1.916079 4.102664 0.667810,3.860483,
1,대,EB 8C 80,1.611761 1.803369 0.794609,2.430494,
1,학,ED 95 99,1.499050 3.291148 1.566677,3.670144,
1,교,EA B5 90,1.690658 0.521286 0.004865,1.279876,
1, ,20,1.747014,1.747014,
1,의,EC 9D 98,2.659969 4.530964 2.355650,5.511723,
1,과,EA B3 BC,1.882266 0.207106 0.027825,1.222364,
1, ,20,2.062603,2.062603,
1,교,EA B5 90,2.490903 2.659969 0.726983,3.393581,
1,수,EC 88 98,0.695988 1.228545 0.000005,1.111132,
1,이,EC 9D B4,2.265482 1.346891 0.172588,2.185248,
1,자,EC 9E 90,1.465237 0.278959 0.000592,1.007353,
1, ,20,0.495926,0.495926,
1,캐,EC BA 90,2.321837 4.373169 1.747014,4.874003,
1,나,EB 82 98,0.622726 0.941133 0.501562,1.192471,
1,다,EB 8B A4,0.026240 0.051776 0.004007,0.047356,
1, ,20,1.577948,1.577948,
1,당,EB 8B B9,1.893537 4.395711 1.758285,4.646246,
1,뇨,EB 87 A8,1.048208 2.389464 0.201470,2.101060,
1, ,20,2.085145,2.085145,
1,협,ED 98 91,1.938621 3.200980 1.589219,3.884886,
1,회,ED 9A 8C,1.121470 0.012416 0.000015,0.654658,
1, ,20,0.794609,0.794609,
1,임,EC 9E 84,2.344379 3.764532 1.758285,4.542128,
1,상,EC 83 81,0.935498 0.059877 0.000586,0.575018,
1,과,EA B3 BC,2.017519 1.476508 1.211638,2.716817,
1,학,ED 95 99,1.375069 0.023775 0.000096,0.807678,
1,부,EB B6 80,2.085145 2.389464 0.918591,3.113765,
1, ,20,1.600490,1.600490,
1,의,EC 9D 98,1.735742 2.603614 0.698805,2.908784,
1,장,EC 9E A5,0.721348 2.885390 0.001607,2.083279,
1,인,EC 9D B8,2.220398 0.648086 0.986217,2.225513,
1, ,20,0.001816,0.001816,
1,E,45,2.355650,2.355650,
1,h,68,3.764532,3.764532,
1,u,75,2.840306,2.840306,
1,d,64,1.217274,1.217274,
1, ,20,0.625544,0.625544,
1,U,55,4.373169,4.373169,
1,r,72,3.674364,3.674364,
1, ,20,3.516569,3.516569,
1,박,EB B0 95,3.403859 4.598590 2.930474,6.312126,
1,사,EC 82 AC,1.177825 0.783338 0.216968,1.257545,
1,는,EB 8A 94,2.333108 1.780827 0.001288,2.375925,
1, ,20,0.111302,0.111302,
1,이,EC 9D B4,3.448943 4.102664 2.051332,5.544259,
1, ,20,1.803369,1.803369,
1,연,EC 97 B0,1.983706 4.283001 1.927350,4.730841,
1,구,EA B5 AC,0.133139 0.012064 0.000136,0.083911,
1,가,EA B0 80,1.994977 0.963675 1.031302,2.303601,
1, ,20,0.158499,0.158499,
1,아,EC 95 84,2.434548 4.418254 1.521592,4.834959,
1,직,EC A7 81,1.217274 2.028790 0.597366,2.219005,
1, ,20,1.904808,1.904808,
1,초,EC B4 88,1.961164 4.125206 0.766432,3.956467,
1,기,EA B8 B0,1.228545 1.465237 0.019020,1.566237,
1, ,20,1.735742,1.735742,
1,단,EB 8B A8,1.870995 2.907932 1.645574,3.709188,
1,계,EA B3 84,0.177519 0.093691 0.018932,0.167513,
1,라,EB 9D BC,1.724471 1.803369 0.000026,2.036815,
1,고,EA B3 A0,1.600490 0.151455 0.011623,1.018196,
1, ,20,0.065161,0.065161,
1,경,EA B2 BD,1.724471 2.265482 1.949893,3.429372,
1,고,EA B3 A0,0.760796 0.044204 0.019372,0.475951,
1,했,ED 96 88,1.149648 0.648086 0.000014,1.037930,
1,습,EC 8A B5,0.811516 2.299295 0.005019,1.798925,
1,니,EB 8B 88,0.000427 0.000027 0.000029,0.000278,
1,다,EB 8B A4,0.004777 0.000077 0.000008,0.002807,
1,.,2E,0.125390,0.125390,
1,<EOS>,,1.082021,,末バイト→EOS

2,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
2,다,EB 8B A4,4.756385 4.801469 1.916079,6.624479,先頭文字: 1番目entは<BOS>(e[0])と同値＝BOS項
2,른,EB A5 B8,1.273629 3.336232 1.076386,3.282956,
2, ,20,0.352220,0.352220,
2,전,EC A0 84,0.687534 3.516569 1.938621,3.546504,
2,문,EB AC B8,1.589219 1.279265 0.162021,1.749663,
2,가,EA B0 80,1.701929 1.532863 0.013208,1.875234,
2,들,EB 93 A4,1.177825 0.969311 0.001101,1.240285,
2,과,EA B3 BC,1.301807 0.034341 0.001266,0.772156,
2, ,20,0.701623,0.701623,
2,마,EB A7 88,2.017519 3.967411 2.885390,5.121282,
2,찬,EC B0 AC,0.400122 1.848453 0.442389,1.553629,
2,가,EA B0 80,0.193017 0.004073 0.002928,0.115480,
2,지,EC A7 80,0.020253 0.002906 0.047198,0.040620,
2,로,EB A1 9C,0.216968 0.572006 0.018492,0.466190,
2,",",2C,0.856600,0.856600,
2, ,20,0.029763,0.029763,
2,그,EA B7 B8,2.490903 2.817764 0.295865,3.235778,
2,는,EB 8A 94,1.335620 3.020643 0.397305,2.744473,
2, ,20,0.100031,0.100031,
2,당,EB 8B B9,2.592343 4.350627 1.324349,4.773139,
2,뇨,EB 87 A8,0.707259 3.832159 0.749525,3.053572,
2,병,EB B3 91,1.623032 0.924227 0.247963,1.613822,
2,의,EC 9D 98,1.634303 1.189096 1.555406,2.528104,
2, ,20,0.021221,0.021221,
2,치,EC B9 98,1.747014 3.832159 0.128913,3.295564,
2,료,EB A3 8C,0.064104 0.007353 0.000003,0.041257,
2, ,20,2.028790,2.028790,
2,여,EC 97 AC,2.006248 3.944869 1.769556,4.457532,
2,부,EB B6 80,1.510321 0.004667 0.000072,0.874720,
2,에,EC 97 90,1.803369 1.155283 0.001145,1.708839,
2, ,20,0.181746,0.181746,
2,회,ED 9A 8C,1.194732 1.589219 1.397611,2.414226,
2,의,EC 9D 98,1.679387 1.442695 0.000534,1.802843,
2,적,EC A0 81,1.747014 2.738866 0.047902,2.617580,
2,이,EC 9D B4,0.817151 0.240919 0.181746,0.715808,
2,며,EB A9 B0,1.566677 1.566677 0.605819,2.158812,
2,",",2C,0.958040,0.958040,
2, ,20,0.041562,0.041562,
2,이,EC 9D B4,1.972435 4.260459 2.006248,4.756870,
2,러,EB 9F AC,1.758285 2.062603 0.963675,2.762369,
2,한,ED 95 9C,0.014705 0.072910 0.000495,0.050870,
2, ,20,0.022454,0.022454,
2,결,EA B2 B0,1.555406 2.817764 1.927350,3.637607,
2,과,EA B3 BC,0.811516 0.018492 0.002719,0.480775,
2,는,EB 8A 94,1.110199 2.468361 0.001618,2.067017,
2, ,20,0.125390,0.125390,
2,제,EC A0 9C,2.265482 4.463338 2.141500,5.121282,
2,1,31,2.581072,2.581072,
2,형,ED 98 95,1.544135 1.994977 1.566677,2.947828,
2, ,20,1.251087,1.251087,
2,당,EB 8B B9,2.558529 4.125206 1.211638,4.558396,
2,뇨,EB 87 A8,0.693170 0.096508 0.009554,0.461437,
2,병,EB B3 91,0.805880 0.297274 0.000018,0.636917,
2, ,20,1.510321,1.510321,
2,환,ED 99 98,2.017519 3.223522 0.997488,3.601816,
2,자,EC 9E 90,0.047198 0.000413 0.034341,0.047315,
2,에,EC 97 90,1.882266 1.104563 0.043675,1.749663,
2,게,EA B2 8C,1.082021 0.004469 0.006912,0.631276,
2,는,EB 8A 94,0.811516 1.346891 0.000271,1.246313,
2, ,20,0.068683,0.068683,
2,관,EA B4 80,1.882266 2.829035 1.189096,3.406596,
2,련,EB A0 A8,0.958040 1.859724 0.002488,1.628273,
2,이,EC 9D B4,1.284900 2.400735 0.402940,2.360540,
2, ,20,0.077841,0.077841,
2,없,EC 97 86,0.283185 1.093292 0.001227,0.795418,
2,음,EC 9D 8C,1.036937 2.231669 1.256723,2.612700,
2,을,EC 9D 84,0.264870 0.112006 0.321225,0.403049,
2, ,20,0.024655,0.024655,
2,지,EC A7 80,1.735742 2.772680 0.890413,3.117019,
2,적,EC A0 81,1.065115 2.186585 0.218377,2.003449,
2,합,ED 95 A9,0.097213 1.093292 1.904808,1.787080,
2,니,EB 8B 88,0.019636 0.000424 0.000014,0.011590,
2,다,EB 8B A4,0.001282 0.000144 0.000013,0.000831,
2,.,2E,0.076432,0.076432,
2,<EOS>,,0.862236,,末バイト→EOS

3,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
3,월,EC 9B 94,4.756385 4.733843 2.524716,6.936832,先頭文字: 1番目entは<BOS>(e[0])と同値＝BOS項
3,요,EC 9A 94,2.085145 4.215375 0.493109,3.922303,
3,일,EC 9D BC,0.822787 0.267688 0.004051,0.631924,
3, ,20,2.547258,2.547258,
3,스,EC 8A A4,2.783951 3.539111 1.577948,4.561650,
3,웨,EC 9B A8,1.420153 2.569801 0.459295,2.568775,
3,덴,EB 8D B4,1.234181 0.436753 1.155283,1.631717,
3, ,20,1.961164,1.961164,
3,한,ED 95 9C,3.223522 3.967411 2.400735,5.537752,
3,림,EB A6 BC,2.209127 2.738866 0.288821,3.023476,
3,원,EC 9B 90,2.051332 3.494027 0.136662,3.280516,
3, ,20,1.747014,1.747014,
