sent_id,文字,バイト(hex),エントロピー(bits),H(=sum/√ℓ),備考
0,<BOS>,,4.756385,,BOS出力＝先頭バイトを予測(先頭文字Hに算入)
0,他,E4 BB 96,4.756385 2.333108 3.674364,6.214516,先頭文字: 1番目entは<BOS>(e[0])と同値＝BOS項
0,补,E8 A1 A5,0.355038 3.832159 1.239816,3.133287,
0,充,E5 85 85,1.645574 0.476202 3.088269,3.008021,
0,道,E9 81 93,2.829035 3.178438 0.963675,4.024794,
0,：,EF BC 9A,2.175314 0.016554 2.107687,2.482349,
0,“,E2 80 9C,2.783951 0.788974 0.159908,2.155152,
0,我,E6 88 91,2.626156 5.094517 0.093691,4.511625,
0,们,E4 BB AC,2.333108 1.758285 0.777703,2.811174,
0,现,E7 8E B0,2.750137 2.930474 0.856600,3.774261,
0,在,E5 9C A8,0.225421 0.143002 0.009290,0.218072,
0,有,E6 9C 89,2.502174 3.832159 0.462113,3.923930,
0, ,20,2.761408,2.761408,
0,4,34,3.494027,3.494027,
0, ,20,3.448943,3.448943,
0,个,E4 B8 AA,2.321837 0.569188 1.403246,2.479299,
0,月,E6 9C 88,2.581072 3.088269 2.682511,4.821944,
0,大,E5 A4 A7,2.614885 4.283001 1.166554,4.656007,
0,没,E6 B2 A1,1.059479 3.967411 1.656845,3.858857,
0,有,E6 9C 89,0.586095 0.130322 0.020165,0.425265,
0,糖,E7 B3 96,2.806493 5.004348 1.465237,5.355546,
0,尿,E5 B0 BF,2.682511 0.068683 0.004711,1.591123,
0,病,E7 97 85,0.020869 0.028882 0.001288,0.029467,
0,的,E7 9A 84,3.088269 0.760796 0.015586,2.231257,
0,老,E8 80 81,2.400735 4.057580 1.284900,4.470547,
0,鼠,E9 BC A0,1.814640 1.803369 0.027825,2.104923,
0,，,EF BC 8C,3.110811 0.200061 0.738254,2.337764,
0,但,E4 BD 86,2.829035 2.164043 1.206003,3.579041,
0,它,E5 AE 83,1.916079 4.598590 1.144012,4.421742,
0,们,E4 BB AC,2.265482 1.521592 0.777703,2.635475,
0,曾,E6 9B BE,2.468361 3.043185 0.918591,3.712441,
0,经,E7 BB 8F,2.096416 0.342358 0.096508,1.463746,
0,得,E5 BE 97,2.513445 4.035038 0.667810,4.166329,
0,过,E8 BF 87,1.499050 2.592343 0.016290,2.371572,
0,该,E8 AF A5,3.291148 3.426401 2.862848,5.531245,
