lang,script,bytes_per_char,gold_type,method,theta_bits,theta_nats,bpp,F1,precision,recall,morph_rate,n_patches
en,Latn,1.001,ws,monotonic,0.000,0.0000,2.2726,0.5214,0.3560,0.9734,0.0801,58125
en,Latn,1.001,ws,monotonic,0.005,0.0035,2.4448,0.5498,0.3832,0.9727,0.0910,54031
en,Latn,1.001,ws,monotonic,0.010,0.0069,2.4978,0.5582,0.3915,0.9721,0.0913,52884
en,Latn,1.001,ws,monotonic,0.020,0.0139,2.5714,0.5695,0.4029,0.9713,0.0895,51371
en,Latn,1.001,ws,monotonic,0.030,0.0208,2.6324,0.5779,0.4117,0.9690,0.0874,50180
en,Latn,1.001,ws,monotonic,0.050,0.0347,2.7214,0.5904,0.4249,0.9669,0.0847,48540
en,Latn,1.001,ws,monotonic,0.070,0.0485,2.7947,0.6001,0.4356,0.9645,0.0832,47267
en,Latn,1.001,ws,monotonic,0.100,0.0693,2.8870,0.6124,0.4491,0.9620,0.0815,45755
en,Latn,1.001,ws,monotonic,0.150,0.1040,3.0162,0.6294,0.4683,0.9592,0.0807,43796
en,Latn,1.001,ws,monotonic,0.200,0.1386,3.1276,0.6431,0.4845,0.9561,0.0809,42235
en,Latn,1.001,ws,monotonic,0.300,0.2079,3.3374,0.6673,0.5143,0.9496,0.0804,39580
en,Latn,1.001,ws,monotonic,0.400,0.2773,3.5303,0.6872,0.5408,0.9425,0.0796,37418
en,Latn,1.001,ws,monotonic,0.500,0.3466,3.7247,0.7067,0.5676,0.9361,0.0791,35465
en,Latn,1.001,ws,monotonic,0.600,0.4159,3.9262,0.7246,0.5942,0.9283,0.0783,33645
en,Latn,1.001,ws,monotonic,0.800,0.5545,4.3572,0.7587,0.6498,0.9115,0.0739,30317
en,Latn,1.001,ws,monotonic,1.000,0.6931,4.8428,0.7913,0.7103,0.8931,0.0716,27277
en,Latn,1.001,ws,monotonic,1.200,0.8318,5.3383,0.8171,0.7681,0.8727,0.0647,24745
en,Latn,1.001,ws,monotonic,1.500,1.0397,6.1079,0.8402,0.8457,0.8346,0.0589,21627
ru,Cyrl,1.832,ws,monotonic,0.000,0.0000,4.0032,0.4322,0.2790,0.9582,0.0331,65034
ru,Cyrl,1.832,ws,monotonic,0.005,0.0035,4.2935,0.4559,0.2992,0.9570,0.0375,60636
ru,Cyrl,1.832,ws,monotonic,0.010,0.0069,4.4165,0.4656,0.3077,0.9562,0.0393,58947
ru,Cyrl,1.832,ws,monotonic,0.020,0.0139,4.5733,0.4773,0.3182,0.9544,0.0402,56927
ru,Cyrl,1.832,ws,monotonic,0.030,0.0208,4.6944,0.4857,0.3260,0.9522,0.0409,55458
ru,Cyrl,1.832,ws,monotonic,0.050,0.0347,4.8840,0.4990,0.3385,0.9494,0.0413,53305
ru,Cyrl,1.832,ws,monotonic,0.070,0.0485,5.0428,0.5100,0.3489,0.9473,0.0427,51626
ru,Cyrl,1.832,ws,monotonic,0.100,0.0693,5.2561,0.5235,0.3624,0.9430,0.0432,49531
ru,Cyrl,1.832,ws,monotonic,0.150,0.1040,5.5595,0.5423,0.3815,0.9375,0.0441,46828
ru,Cyrl,1.832,ws,monotonic,0.200,0.1386,5.8348,0.5589,0.3989,0.9331,0.0465,44619
ru,Cyrl,1.832,ws,monotonic,0.300,0.2079,6.3747,0.5883,0.4318,0.9225,0.0499,40840
ru,Cyrl,1.832,ws,monotonic,0.400,0.2773,6.9091,0.6159,0.4645,0.9136,0.0527,37681
ru,Cyrl,1.832,ws,monotonic,0.500,0.3466,7.4979,0.6428,0.4992,0.9026,0.0567,34722
ru,Cyrl,1.832,ws,monotonic,0.600,0.4159,8.1255,0.6696,0.5359,0.8920,0.0591,32040
ru,Cyrl,1.832,ws,monotonic,0.800,0.5545,9.5689,0.7194,0.6157,0.8651,0.0651,27207
ru,Cyrl,1.832,ws,monotonic,1.000,0.6931,10.8593,0.7468,0.6766,0.8333,0.0632,23974
ru,Cyrl,1.832,ws,monotonic,1.200,0.8318,12.2751,0.7683,0.7388,0.8004,0.0586,21209
ru,Cyrl,1.832,ws,monotonic,1.500,1.0397,14.7369,0.7788,0.8253,0.7373,0.0532,17666
ar,Arab,1.816,ws,monotonic,0.000,0.0000,4.0408,0.5165,0.3520,0.9691,0.0407,52282
ar,Arab,1.816,ws,monotonic,0.005,0.0035,4.1159,0.5230,0.3583,0.9679,0.0415,51329
ar,Arab,1.816,ws,monotonic,0.010,0.0069,4.1670,0.5271,0.3623,0.9666,0.0415,50699
ar,Arab,1.816,ws,monotonic,0.020,0.0139,4.2497,0.5334,0.3687,0.9641,0.0414,49712
ar,Arab,1.816,ws,monotonic,0.030,0.0208,4.3131,0.5379,0.3734,0.9617,0.0411,48982
ar,Arab,1.816,ws,monotonic,0.050,0.0347,4.4227,0.5457,0.3815,0.9577,0.0401,47768
ar,Arab,1.816,ws,monotonic,0.070,0.0485,4.5169,0.5520,0.3883,0.9541,0.0395,46772
ar,Arab,1.816,ws,monotonic,0.100,0.0693,4.6394,0.5604,0.3974,0.9501,0.0391,45537
ar,Arab,1.816,ws,monotonic,0.150,0.1040,4.8309,0.5725,0.4110,0.9428,0.0382,43732
ar,Arab,1.816,ws,monotonic,0.200,0.1386,5.0210,0.5833,0.4239,0.9346,0.0373,42076
ar,Arab,1.816,ws,monotonic,0.300,0.2079,5.3655,0.6022,0.4473,0.9212,0.0362,39374
ar,Arab,1.816,ws,monotonic,0.400,0.2773,5.7165,0.6196,0.4703,0.9077,0.0348,36957
ar,Arab,1.816,ws,monotonic,0.500,0.3466,6.0785,0.6352,0.4929,0.8930,0.0340,34756
ar,Arab,1.816,ws,monotonic,0.600,0.4159,6.4699,0.6474,0.5142,0.8736,0.0325,32653
ar,Arab,1.816,ws,monotonic,0.800,0.5545,7.3307,0.6695,0.5590,0.8345,0.0290,28819
ar,Arab,1.816,ws,monotonic,1.000,0.6931,8.2722,0.6788,0.5971,0.7863,0.0227,25539
ar,Arab,1.816,ws,monotonic,1.200,0.8318,9.2912,0.6741,0.6260,0.7303,0.0200,22738
ar,Arab,1.816,ws,monotonic,1.500,1.0397,11.1975,0.6407,0.6545,0.6274,0.0182,18867
