lang,ell,method,op,bytes_per_patch,chars_per_patch,one_char_patch_rate,mid_char_split_rate,boundary_F1,morph_rate,interior_surprisal_bits,start_surprisal_bits
en,1,byte-BLT,4,3.5956,3.5921,0.1650,0.0007,0.6943,0.0781,0.6617,2.6955
en,1,byte-BLT,5,4.1838,4.1797,0.1236,0.0006,0.7460,0.0756,0.6936,2.9265
en,1,byte-BLT,6,4.6250,4.6205,0.1019,0.0006,0.7781,0.0712,0.7150,3.0845
en,1,byte-BLT,7,4.9951,4.9902,0.0858,0.0004,0.8004,0.0687,0.7320,3.2062
en,1,byte-BLT,8,5.3978,5.3925,0.0672,0.0004,0.8195,0.0631,0.7507,3.3234
en,1,CBLT-sqrtL,4,2.1117,2.1097,0.4049,0.0000,0.4938,0.0681,0.7597,1.7471
en,1,CBLT-sqrtL,5,2.4944,2.4919,0.3048,0.0000,0.5576,0.0895,0.6717,2.0575
en,1,CBLT-sqrtL,6,2.9750,2.9721,0.2292,0.0000,0.6240,0.0796,0.6415,2.3842
en,1,CBLT-sqrtL,7,3.4410,3.4376,0.1782,0.0000,0.6783,0.0789,0.6549,2.6245
en,1,CBLT-sqrtL,8,3.8585,3.8547,0.1442,0.0000,0.7189,0.0782,0.6764,2.8020
ru,2,byte-BLT,4,3.7869,2.0669,0.5143,0.6271,0.4513,0.0309,0.3022,1.8192
ru,2,byte-BLT,5,4.8998,2.6743,0.4094,0.6750,0.5090,0.0336,0.3517,2.0721
ru,2,byte-BLT,6,6.2292,3.3999,0.3192,0.7327,0.5569,0.0361,0.3925,2.3253
ru,2,byte-BLT,7,7.6765,4.1899,0.2551,0.7822,0.5960,0.0395,0.4233,2.5684
ru,2,byte-BLT,8,9.1258,4.9809,0.1983,0.7983,0.6250,0.0398,0.4512,2.7471
ru,2,CBLT-sqrtL,4,3.7417,2.0423,0.3984,0.0000,0.4100,0.0281,0.7043,0.6985
ru,2,CBLT-sqrtL,5,4.4085,2.4062,0.3040,0.0000,0.4650,0.0372,0.6690,0.8179
ru,2,CBLT-sqrtL,6,5.4714,2.9863,0.2250,0.0000,0.5369,0.0424,0.6439,0.9661
ru,2,CBLT-sqrtL,7,6.6510,3.6302,0.1667,0.0000,0.6029,0.0504,0.6370,1.0743
ru,2,CBLT-sqrtL,8,7.9107,4.3177,0.1280,0.0000,0.6609,0.0574,0.6368,1.1589
ja,3,byte-BLT,4,2.9550,1.0069,0.6151,0.6333,0.7536,0.3481,0.5530,2.2143
