lang,ell,method,op,theta,bytes_per_patch,chars_per_patch,one_char_patch_rate,mid_char_split_rate,boundary_F1,morph_rate,interior_surprisal_bits,start_surprisal_bits
en,1,byte-BLT,4,0.4414,3.9998,3.9958,0.1347,0.0006,0.7304,0.0764,0.6841,2.8567
en,1,CBLT-sqrtL,4,0.4388,3.9999,3.9959,0.1342,0.0000,0.7302,0.0766,0.6847,2.8550
en,1,byte-BLT,5,0.7368,5.0000,4.9951,0.0856,0.0004,0.8008,0.0686,0.7321,3.2081
en,1,CBLT-sqrtL,5,0.7344,4.9932,4.9883,0.0857,0.0000,0.8006,0.0687,0.7318,3.2059
en,1,byte-BLT,6,1.0151,6.0000,5.9941,0.0397,0.0003,0.8385,0.0577,0.7763,3.4821
en,1,CBLT-sqrtL,6,1.0134,5.9997,5.9938,0.0395,0.0000,0.8382,0.0582,0.7768,3.4798
en,1,byte-BLT,7,1.2548,6.9999,6.9931,0.0105,0.0002,0.8429,0.0509,0.8172,3.6881
en,1,CBLT-sqrtL,7,1.2510,7.0003,6.9934,0.0099,0.0000,0.8434,0.0510,0.8174,3.6867
en,1,byte-BLT,8,1.4922,7.9913,7.9834,0.0027,0.0001,0.8170,0.0479,0.8550,3.8301
en,1,CBLT-sqrtL,8,1.4918,7.9995,7.9916,0.0021,0.0000,0.8171,0.0480,0.8555,3.8298
ru,2,byte-BLT,4,0.3477,4.0069,2.1870,0.4911,0.6377,0.4640,0.0313,0.3133,1.8739
ru,2,CBLT-sqrtL,4,-0.0000,4.0000,2.1832,0.3424,0.0000,0.4319,0.0314,0.6886,0.7454
ru,2,byte-BLT,5,0.5146,5.0003,2.7292,0.4017,0.6795,0.5133,0.0337,0.3551,2.0937
ru,2,CBLT-sqrtL,5,0.0447,4.9999,2.7290,0.2571,0.0000,0.5072,0.0402,0.6512,0.9089
ru,2,byte-BLT,6,0.6172,6.0043,3.2772,0.3320,0.7231,0.5494,0.0357,0.3868,2.2839
ru,2,CBLT-sqrtL,6,0.1593,6.0000,3.2749,0.1945,0.0000,0.5680,0.0453,0.6393,1.0199
ru,2,byte-BLT,7,0.6875,7.0043,3.8230,0.2838,0.7631,0.5787,0.0388,0.4099,2.4613
ru,2,CBLT-sqrtL,7,0.2879,7.0001,3.8207,0.1545,0.0000,0.6201,0.0519,0.6366,1.1000
ru,2,byte-BLT,8,0.7617,7.9999,4.3664,0.2418,0.7872,0.6037,0.0393,0.4297,2.6140
ru,2,CBLT-sqrtL,8,0.4029,8.0004,4.3667,0.1261,0.0000,0.6648,0.0575,0.6368,1.1643
ja,3,byte-BLT,4,0.5660,3.9999,1.3630,0.5878,0.6099,0.7087,0.2895,0.6435,2.5303
ja,3,CBLT-sqrtL,4,-0.9429,3.9999,1.3630,0.6576,0.0000,0.8305,0.5645,1.0523,1.3041
ja,3,byte-BLT,5,0.7109,5.0105,1.7073,0.5519,0.5752,0.6749,0.2621,0.6976,2.7902
ja,3,CBLT-sqrtL,5,-0.2663,5.0000,1.7038,0.4474,0.0000,0.8173,0.5921,1.0210,1.4923
ja,3,byte-BLT,6,0.8633,6.0077,2.0471,0.4918,0.5616,0.6253,0.2267,0.7476,2.9561
ja,3,CBLT-sqrtL,6,0.0169,5.9999,2.0445,0.3257,0.0000,0.7909,0.5787,1.0018,1.6825
ja,3,byte-BLT,7,0.9844,7.0146,2.3903,0.4347,0.5490,0.5796,0.2051,0.7904,3.0691
ja,3,CBLT-sqrtL,7,0.2705,7.0002,2.3853,0.2508,0.0000,0.7462,0.5364,0.9942,1.8415
ja,3,byte-BLT,8,1.0838,8.0002,2.7261,0.3896,0.5383,0.5402,0.1896,0.8234,3.1578
ja,3,CBLT-sqrtL,8,0.4774,7.9999,2.7260,0.1969,0.0000,0.6986,0.4849,0.9929,1.9713
ar,2,byte-BLT,4,0.5557,4.0020,2.2032,0.4861,0.7129,0.4567,0.0193,0.4908,2.2012
ar,2,CBLT-sqrtL,4,-0.0013,4.0000,2.2021,0.3573,0.0000,0.5129,0.0399,0.9274,0.8906
ar,2,byte-BLT,5,0.6688,5.0003,2.7528,0.3756,0.7973,0.4538,0.0199,0.5366,2.4444
ar,2,CBLT-sqrtL,5,0.1354,5.0001,2.7527,0.2550,0.0000,0.5820,0.0371,0.8905,1.0290
ar,2,byte-BLT,6,0.7702,5.9999,3.3031,0.3175,0.8533,0.4434,0.0189,0.5737,2.6404
ar,2,CBLT-sqrtL,6,0.3315,6.0011,3.3038,0.1809,0.0000,0.6319,0.0339,0.8816,1.1011
ar,2,byte-BLT,7,0.8740,7.0008,3.8542,0.2765,0.8751,0.4263,0.0188,0.6083,2.7777
