metric,ell,langs,byte_mean,cblt_mean,delta_byte_minus_cblt
mid_char_split_rate,1,en,0.0005,0.0000,+0.0005
mid_char_split_rate,2,"ru,ar",0.7423,0.0000,+0.7423
mid_char_split_rate,3,"ja,zh,ko,hi,th",0.6364,0.0000,+0.6364
boundary_F1,1,en,0.7677,0.6145,+0.1532
boundary_F1,2,"ru,ar",0.4965,0.5536,-0.0571
boundary_F1,3,"ja,zh,ko,hi,th",0.6227,0.7214,-0.0987
morph_rate,1,en,0.0713,0.0789,-0.0075
morph_rate,2,"ru,ar",0.0277,0.0400,-0.0123
morph_rate,3,"ja,zh,ko,hi,th",0.1825,0.3182,-0.1357
interior_surprisal_bits,1,en,0.7106,0.6809,+0.0297
interior_surprisal_bits,2,"ru,ar",0.4494,0.7798,-0.3304
interior_surprisal_bits,3,"ja,zh,ko,hi,th",0.5766,0.9663,-0.3897
start_surprisal_bits,1,en,3.0472,2.3231,+0.7241
start_surprisal_bits,2,"ru,ar",2.3249,0.9720,+1.3530
start_surprisal_bits,3,"ja,zh,ko,hi,th",2.6173,1.4711,+1.1462
bytes_per_patch,1,en,4.5595,2.9761,+1.5834
bytes_per_patch,2,"ru,ar",5.5488,5.2969,+0.2519
bytes_per_patch,3,"ja,zh,ko,hi,th",4.6004,6.9526,-2.3522
