metric,ell,langs,byte_mean,cblt_mean,delta_byte_minus_cblt
mid_char_split_rate,1,en,0.0003,0.0000,+0.0003
mid_char_split_rate,2,"ru,ar",0.7718,0.0000,+0.7718
mid_char_split_rate,3,"ja,zh,ko,hi,th",0.6061,0.0000,+0.6061
boundary_F1,1,en,0.8059,0.8059,+0.0000
boundary_F1,2,"ru,ar",0.4897,0.5860,-0.0963
boundary_F1,3,"ja,zh,ko,hi,th",0.6088,0.6758,-0.0669
morph_rate,1,en,0.0603,0.0605,-0.0002
morph_rate,2,"ru,ar",0.0273,0.0391,-0.0118
morph_rate,3,"ja,zh,ko,hi,th",0.1732,0.2801,-0.1069
interior_surprisal_bits,1,en,0.7729,0.7732,-0.0003
interior_surprisal_bits,2,"ru,ar",0.4741,0.7711,-0.2970
interior_surprisal_bits,3,"ja,zh,ko,hi,th",0.6794,0.9834,-0.3040
start_surprisal_bits,1,en,3.4130,3.4115,+0.0016
start_surprisal_bits,2,"ru,ar",2.4277,1.0298,+1.3978
start_surprisal_bits,3,"ja,zh,ko,hi,th",2.8037,1.3886,+1.4151
bytes_per_patch,1,en,5.9982,5.9985,-0.0003
bytes_per_patch,2,"ru,ar",6.0000,6.0002,-0.0002
bytes_per_patch,3,"ja,zh,ko,hi,th",6.0014,6.0000,+0.0014
