method,target_bpp,theta_nats,theta_bits,realized_pooled_bpp,bpp_en,bpp_ru,bpp_ja,bpp_ar,bpp_zh,bpp_ko,bpp_hi,bpp_th
byte-BLT,4.0,0.3008,0.4339,4.004,4.12,4.99,3.43,3.96,3.08,3.22,4.26,4.78
byte-BLT,5.0,0.5000,0.7213,4.992,4.82,6.53,4.26,5.13,3.52,3.90,5.32,6.29
byte-BLT,6.0,0.6367,0.9186,6.002,5.37,8.33,5.07,6.67,3.89,4.55,6.51,7.87
byte-BLT,7.0,0.7344,1.0595,7.013,5.86,10.29,5.87,8.39,4.22,5.18,8.00,9.36
byte-BLT,8.0,0.8516,1.2285,7.990,6.40,12.22,6.71,10.09,4.63,6.04,8.87,10.70
CBLT-sqrtL,4.0,-0.0035,-0.0050,4.000,1.94,3.33,4.94,3.37,4.96,4.61,5.29,5.51
CBLT-sqrtL,5.0,0.0067,0.0097,5.000,2.69,4.72,5.32,4.48,5.31,4.92,6.12,7.23
CBLT-sqrtL,6.0,0.0937,0.1353,5.997,3.36,6.21,5.88,5.48,5.84,5.51,7.61,8.58
CBLT-sqrtL,7.0,0.2439,0.3519,7.000,3.94,7.68,6.60,6.52,6.41,6.24,9.33,9.90
CBLT-sqrtL,8.0,0.3934,0.5675,8.000,4.48,9.16,7.33,7.59,7.01,7.02,11.14,11.25
Sum,4.0,-0.0057,-0.0082,4.000,1.90,3.32,4.96,3.37,4.99,4.69,5.42,5.53
Sum,5.0,0.0072,0.0103,5.000,2.70,4.68,5.32,4.47,5.33,5.00,6.20,7.10
Sum,6.0,0.1123,0.1620,6.000,3.44,6.19,5.84,5.49,5.84,5.57,7.59,8.41
Sum,7.0,0.3116,0.4496,7.000,4.18,7.68,6.48,6.55,6.38,6.27,9.08,9.63
Sum,8.0,0.5136,0.7410,8.000,4.91,9.25,7.15,7.65,6.95,7.02,10.53,10.85
Avg,4.0,-0.0024,-0.0034,4.000,1.97,3.33,4.95,3.37,4.94,4.52,5.20,5.51
Avg,5.0,0.0056,0.0080,5.000,2.66,4.74,5.33,4.48,5.32,4.83,6.08,7.39
Avg,6.0,0.0723,0.1043,5.999,3.26,6.20,5.95,5.46,5.86,5.45,7.67,8.84
Avg,7.0,0.1788,0.2580,7.000,3.71,7.57,6.72,6.45,6.50,6.23,9.64,10.32
Avg,8.0,0.2826,0.4077,8.000,4.09,8.93,7.53,7.48,7.16,7.05,11.93,11.82
