method,target_bpp,theta_nats,theta_bits,realized_pooled_bpp_DATAWEIGHTED,bpp_en,bpp_ru,bpp_ja,bpp_ar,bpp_zh,bpp_ko,bpp_hi,bpp_th,bpp_other
byte-BLT,4.0,0.3438,0.4960,3.9918,4.153,4.909,3.447,4.003,3.016,3.187,4.174,4.481,nan
byte-BLT,5.0,0.5547,0.8003,4.9953,4.891,6.628,4.342,5.351,3.502,3.929,5.320,5.998,nan
byte-BLT,6.0,0.6905,0.9962,6.0010,5.474,8.708,5.237,7.224,3.910,4.614,6.952,7.642,nan
byte-BLT,7.0,0.8262,1.1920,6.9972,6.090,10.845,6.146,9.076,4.387,5.498,8.000,8.969,nan
byte-BLT,8.0,0.9532,1.3752,8.0213,6.684,13.008,7.167,11.111,4.935,6.579,8.857,10.154,nan
CBLT-sqrtL,4.0,0.0066,0.0095,3.9997,2.658,4.559,5.315,4.472,5.274,4.902,5.976,6.952,nan
CBLT-sqrtL,5.0,0.1202,0.1734,5.0006,3.413,6.153,5.975,5.619,5.825,5.541,7.574,8.282,nan
CBLT-sqrtL,6.0,0.3115,0.4494,6.0004,4.081,7.869,6.849,6.874,6.524,6.409,9.539,9.720,nan
CBLT-sqrtL,7.0,0.4873,0.7030,6.9998,4.686,9.806,7.782,8.250,7.253,7.312,11.624,11.181,nan
CBLT-sqrtL,8.0,0.6448,0.9302,7.9998,5.303,11.629,8.770,9.766,8.001,8.265,13.815,12.639,nan
Sum,4.0,0.0068,0.0098,4.0013,2.664,4.527,5.326,4.471,5.307,4.994,6.075,6.850,nan
Sum,5.0,0.1360,0.1962,4.9997,3.472,6.063,5.893,5.578,5.796,5.567,7.466,8.069,nan
Sum,6.0,0.3668,0.5292,6.0003,4.262,7.670,6.611,6.734,6.387,6.313,8.982,9.268,nan
Sum,7.0,0.5860,0.8454,6.9991,5.046,9.391,7.338,7.944,6.975,7.079,10.430,10.455,nan
Sum,8.0,0.7634,1.1014,8.0002,5.846,11.263,8.022,9.206,7.514,7.811,11.808,11.632,nan
Avg,4.0,0.0059,0.0085,3.9973,2.642,4.589,5.332,4.477,5.275,4.810,5.945,7.099,nan
Avg,5.0,0.1007,0.1453,4.9999,3.332,6.233,6.110,5.674,5.917,5.534,7.808,8.633,nan
Avg,6.0,0.2501,0.3608,5.9932,3.877,8.012,7.193,7.039,6.776,6.580,10.514,10.438,nan
Avg,7.0,0.3887,0.5608,7.0021,4.347,10.078,8.412,8.654,7.714,7.730,13.783,12.220,nan
Avg,8.0,0.5192,0.7490,7.9999,4.808,11.896,9.787,10.447,8.762,9.024,17.667,14.381,nan
