target_bpp,realized_pooled_bpp,theta_bits,theta_nats,mix_weighted_bpp,lang,lang_bpp,F1,precision,recall,morph_rate,n_patches,pooled_F1
4.0,4.0,-0.1451,-0.1006,4.308,en,1.798,0.4394,0.283,0.9818,0.0691,73476,0.5324
4.0,4.0,-0.1451,-0.1006,4.308,ru,3.1,0.3554,0.2176,0.9686,0.0667,83989,0.5324
4.0,4.0,-0.1451,-0.1006,4.308,ar,3.429,0.4618,0.3019,0.9821,0.0413,61607,0.5324
4.0,4.0,-0.1451,-0.1006,4.308,ja,5.451,0.8065,0.8578,0.761,0.5892,30656,0.5324
4.0,4.0,-0.1451,-0.1006,4.308,zh,5.299,0.7995,0.8236,0.7767,0.587,22799,0.5324
4.0,4.0,-0.1451,-0.1006,4.308,ko,5.064,0.6263,0.4629,0.968,0.0685,31159,0.5324
4.0,4.0,-0.1451,-0.1006,4.308,hi,4.934,0.5225,0.3569,0.975,0.068,68311,0.5324
4.0,4.0,-0.1451,-0.1006,4.308,th,5.542,0.5293,0.3651,0.9622,0.1379,65839,0.5324
5.0,5.0,0.0042,0.0029,5.181,en,2.433,0.5479,0.3813,0.9728,0.1011,54297,0.6097
5.0,5.0,0.0042,0.0029,5.181,ru,4.269,0.454,0.2976,0.9572,0.0607,60984,0.6097
5.0,5.0,0.0042,0.0029,5.181,ar,4.109,0.5224,0.3577,0.968,0.0453,51417,0.6097
5.0,5.0,0.0042,0.0029,5.181,ja,5.921,0.7995,0.8906,0.7252,0.5898,28221,0.6097
5.0,5.0,0.0042,0.0029,5.181,zh,5.537,0.7948,0.8387,0.7554,0.5838,21819,0.6097
5.0,5.0,0.0042,0.0029,5.181,ko,5.5,0.6545,0.4977,0.9555,0.0657,28691,0.6097
5.0,5.0,0.0042,0.0029,5.181,hi,5.986,0.5903,0.4266,0.9577,0.0908,56313,0.6097
5.0,5.0,0.0042,0.0029,5.181,th,7.519,0.6498,0.4931,0.9524,0.2597,48527,0.6097
6.0,6.0,0.1698,0.1177,6.037,en,3.062,0.6353,0.4751,0.9583,0.0909,43141,0.667
6.0,6.0,0.1698,0.1177,6.037,ru,5.671,0.5491,0.3886,0.9357,0.0613,45905,0.667
6.0,6.0,0.1698,0.1177,6.037,ar,4.904,0.5766,0.4159,0.9394,0.0419,43078,0.667
6.0,6.0,0.1698,0.1177,6.037,ja,6.365,0.784,0.9109,0.6882,0.579,26256,0.667
6.0,6.0,0.1698,0.1177,6.037,zh,5.813,0.7843,0.8505,0.7278,0.572,20780,0.667
6.0,6.0,0.1698,0.1177,6.037,ko,6.057,0.6895,0.5433,0.9435,0.0647,26052,0.667
6.0,6.0,0.1698,0.1177,6.037,hi,7.471,0.6584,0.5131,0.9188,0.0796,45119,0.667
6.0,6.0,0.1698,0.1177,6.037,th,8.779,0.7097,0.5702,0.9398,0.3391,41559,0.667
7.0,7.0,0.4227,0.293,6.935,en,3.579,0.6923,0.5476,0.9409,0.0889,36908,0.7032
7.0,7.0,0.4227,0.293,6.935,ru,7.044,0.6225,0.4727,0.9115,0.0657,36962,0.7032
7.0,7.0,0.4227,0.293,6.935,ar,5.8,0.6232,0.4755,0.9041,0.0385,36424,0.7032
7.0,7.0,0.4227,0.293,6.935,ja,7.094,0.749,0.9296,0.6272,0.5417,23558,0.7032
7.0,7.0,0.4227,0.293,6.935,zh,6.248,0.7643,0.8639,0.6853,0.5473,19336,0.7032
7.0,7.0,0.4227,0.293,6.935,ko,6.818,0.7311,0.6037,0.9268,0.0653,23145,0.7032
7.0,7.0,0.4227,0.293,6.935,hi,9.076,0.7127,0.5993,0.8791,0.0705,37138,0.7032
7.0,7.0,0.4227,0.293,6.935,th,9.937,0.7475,0.6312,0.9162,0.4037,36717,0.7032
8.0,8.0,0.6594,0.457,7.841,en,4.055,0.7348,0.6105,0.9225,0.0872,32576,0.7258
8.0,8.0,0.6594,0.457,7.841,ru,8.557,0.6862,0.5606,0.8844,0.0718,30425,0.7258
8.0,8.0,0.6594,0.457,7.841,ar,6.717,0.6552,0.528,0.863,0.0349,31453,0.7258
8.0,8.0,0.6594,0.457,7.841,ja,7.882,0.7118,0.945,0.571,0.4999,21202,0.7258
8.0,8.0,0.6594,0.457,7.841,zh,6.769,0.7397,0.8773,0.6394,0.5134,17847,0.7258
8.0,8.0,0.6594,0.457,7.841,ko,7.563,0.7649,0.6602,0.909,0.0646,20864,0.7258
8.0,8.0,0.6594,0.457,7.841,hi,10.722,0.7468,0.6757,0.8346,0.0588,31437,0.7258
8.0,8.0,0.6594,0.457,7.841,th,11.018,0.7715,0.6813,0.8891,0.4562,33115,0.7258
