■文章1,参議院議員選挙の投票日は来週の日曜日です。
文字,参,,,議,,,院,,,議,,,員,,,選,,,挙,,,の,,,投,,,票,,,日,,,は,,,来,,,週,,,の,,,日,,,曜,,,日,,,で,,,す,,,。,,
バイト(hex),E5,8F,82,E8,AD,B0,E9,99,A2,E8,AD,B0,E5,93,A1,E9,81,B8,E6,8C,99,E3,81,AE,E6,8A,95,E7,A5,A8,E6,97,A5,E3,81,AF,E6,9D,A5,E9,80,B1,E3,81,AE,E6,97,A5,E6,9B,9C,E6,97,A5,E3,81,A7,E3,81,99,E3,80,82
エントロピー(bits),5.140,3.832,2.130,2.074,0.072,0.451,0.000,0.000,2.592,1.544,0.048,1.285,0.108,0.000,2.671,2.784,0.012,0.214,0.005,0.002,3.201,1.431,1.477,2.908,4.644,0.108,0.363,0.000,0.000,2.480,2.378,0.030,2.615,0.533,2.243,1.302,3.201,1.369,0.153,2.232,1.747,1.837,0.468,1.702,2.626,2.953,0.282,1.043,0.163,0.031,1.330,0.037,0.001,0.600,0.727,0.403,0.008,0.282,0.665,0.440,0.595,0.004,3.088
文字パッチ番号,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,
sum,13.796,,4.283,,,0.451,,,4.193,,,1.392,,,5.478,,,0.220,,,6.131,,,7.664,,,0.363,,,4.892,,,5.388,,,5.861,,,4.125,,,4.012,,,5.861,,,1.234,,,1.369,,,1.736,,,0.952,,,1.037,,,
sum/√ℓ (=H),7.965,,2.473,,,0.260,,,2.421,,,0.804,,,3.163,,,0.127,,,3.540,,,4.425,,,0.210,,,2.824,,,3.111,,,3.384,,,2.382,,,2.317,,,3.384,,,0.713,,,0.791,,,1.002,,,0.550,,,0.599,,,

■文章2,人工知能の研究が急速に進歩し社会を大きく変えつつある。
文字,人,,,工,,,知,,,能,,,の,,,研,,,究,,,が,,,急,,,速,,,に,,,進,,,歩,,,し,,,社,,,会,,,を,,,大,,,き,,,く,,,変,,,え,,,つ,,,つ,,,あ,,,る,,,。,,
バイト(hex),E4,BA,BA,E5,B7,A5,E7,9F,A5,E8,83,BD,E3,81,AE,E7,A0,94,E7,A9,B6,E3,81,8C,E6,80,A5,E9,80,9F,E3,81,AB,E9,80,B2,E6,AD,A9,E3,81,97,E7,A4,BE,E4,BC,9A,E3,82,92,E5,A4,A7,E3,81,8D,E3,81,8F,E5,A4,89,E3,81,88,E3,81,A4,E3,81,A4,E3,81,82,E3,82,8B,E3,80,82
エントロピー(bits),2.265,3.652,2.423,2.288,0.019,2.187,3.043,1.972,0.039,0.806,0.180,2.683,1.369,2.750,3.291,4.914,0.947,0.113,0.002,0.000,2.581,1.443,2.288,2.649,3.426,1.251,1.307,0.029,0.080,0.028,0.007,0.067,1.110,0.069,0.000,0.521,0.015,0.021,0.285,0.092,0.417,0.320,2.378,0.007,0.070,0.000,0.000,1.567,0.778,0.738,2.423,3.832,0.030,0.337,0.001,0.023,0.000,0.001,0.696,1.803,2.480,0.008,0.702,0.001,0.000,0.275,1.302,1.443,0.009,0.001,0.018,0.255,0.606,0.345,0.001,0.252,0.744,1.313,1.121,1.555,2.976
文字パッチ番号,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,
sum,10.775,,4.734,,,7.213,,,1.026,,,6.808,,,9.152,,,0.116,,,6.312,,,7.304,,,1.415,,,0.103,,,1.178,,,0.558,,,0.795,,,2.705,,,0.070,,,3.088,,,6.267,,,0.361,,,0.696,,,4.283,,,0.702,,,3.021,,,0.027,,,1.206,,,0.997,,,3.990,,,
sum/√ℓ (=H),6.221,,2.733,,,4.165,,,0.592,,,3.930,,,5.284,,,0.067,,,3.644,,,4.217,,,0.817,,,0.059,,,0.680,,,0.322,,,0.459,,,1.562,,,0.040,,,1.783,,,3.618,,,0.208,,,0.402,,,2.473,,,0.405,,,1.744,,,0.016,,,0.696,,,0.576,,,2.304,,,

■文章3,昨日の夜、彼は図書館で経済学の専門書を静かに読んでいた。
文字,昨,,,日,,,の,,,夜,,,、,,,彼,,,は,,,図,,,書,,,館,,,で,,,経,,,済,,,学,,,の,,,専,,,門,,,書,,,を,,,静,,,か,,,に,,,読,,,ん,,,で,,,い,,,た,,,。,,
バイト(hex),E6,98,A8,E6,97,A5,E3,81,AE,E5,A4,9C,E3,80,81,E5,BD,BC,E3,81,AF,E5,9B,B3,E6,9B,B8,E9,A4,A8,E3,81,A7,E7,B5,8C,E6,B8,88,E5,AD,A6,E3,81,AE,E5,B0,82,E9,96,80,E6,9B,B8,E3,82,92,E9,9D,99,E3,81,8B,E3,81,AB,E8,AA,AD,E3,82,93,E3,81,A7,E3,81,84,E3,81,9F,E3,80,82
エントロピー(bits),5.072,2.288,0.394,0.468,0.003,2.288,0.919,2.096,2.299,3.990,2.130,1.510,0.812,0.454,2.998,4.508,1.905,1.555,0.578,1.251,3.359,4.734,2.806,0.442,0.144,0.000,0.603,0.001,0.000,0.645,0.733,2.220,2.885,4.396,1.105,0.578,0.144,0.002,2.254,3.088,0.001,1.533,1.522,1.803,2.457,2.243,0.050,0.158,0.000,0.000,1.826,1.392,0.003,1.285,1.375,0.159,2.333,1.375,1.578,1.972,0.023,0.005,0.003,0.000,0.002,2.446,1.916,0.896,0.008,0.800,1.059,0.000,0.000,0.166,0.947,0.589,1.657,0.005,0.935,1.646,0.750,1.043,0.073,2.480
文字パッチ番号,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,
sum,12.173,,0.868,,,5.297,,,8.431,,,2.773,,,9.423,,,3.381,,,10.910,,,0.586,,,0.603,,,3.607,,,8.386,,,0.721,,,5.342,,,4.869,,,4.756,,,0.158,,,3.224,,,2.818,,,5.275,,,1.995,,,0.005,,,5.252,,,1.871,,,0.166,,,3.201,,,2.581,,,1.860,,,
sum/√ℓ (=H),7.028,,0.501,,,3.058,,,4.867,,,1.601,,,5.440,,,1.952,,,6.299,,,0.338,,,0.348,,,2.082,,,4.841,,,0.416,,,3.084,,,2.811,,,2.746,,,0.092,,,1.861,,,1.627,,,3.045,,,1.152,,,0.003,,,3.032,,,1.080,,,0.096,,,1.848,,,1.490,,,1.074,,,

■文章4,新しい新幹線の駅が来年の春に開業する予定だと発表された。
文字,新,,,し,,,い,,,新,,,幹,,,線,,,の,,,駅,,,が,,,来,,,年,,,の,,,春,,,に,,,開,,,業,,,す,,,る,,,予,,,定,,,だ,,,と,,,発,,,表,,,さ,,,れ,,,た,,,。,,
バイト(hex),E6,96,B0,E3,81,97,E3,81,84,E6,96,B0,E5,B9,B9,E7,B7,9A,E3,81,AE,E9,A7,85,E3,81,8C,E6,9D,A5,E5,B9,B4,E3,81,AE,E6,98,A5,E3,81,AB,E9,96,8B,E6,A5,AD,E3,81,99,E3,82,8B,E4,BA,88,E5,AE,9A,E3,81,A0,E3,81,A8,E7,99,BA,E8,A1,A8,E3,81,95,E3,82,8C,E3,81,9F,E3,80,82
エントロピー(bits),5.072,2.559,2.412,1.544,2.649,0.034,0.010,0.053,2.953,4.689,1.758,2.142,4.418,1.212,0.001,0.002,0.001,2.333,1.443,2.232,2.953,3.449,0.012,0.645,0.342,1.972,1.634,4.260,1.477,0.137,1.409,0.002,2.412,0.397,2.074,2.874,4.351,2.423,1.268,0.665,1.431,2.716,1.803,0.207,1.837,0.043,0.000,0.527,0.335,1.386,0.003,0.018,0.231,2.142,1.894,0.919,0.061,0.000,0.004,0.309,0.699,1.826,0.092,0.919,1.206,1.724,3.224,0.088,0.088,1.178,0.000,0.099,0.733,1.381,0.002,0.007,0.000,0.026,0.561,0.969,1.054,0.935,0.187,3.088
文字パッチ番号,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,
sum,12.443,,6.582,,,0.096,,,9.378,,,7.754,,,0.003,,,5.996,,,6.402,,,2.953,,,7.394,,,1.544,,,4.892,,,9.648,,,3.359,,,4.734,,,1.882,,,2.254,,,0.252,,,4.959,,,0.066,,,2.829,,,2.220,,,5.027,,,1.268,,,2.209,,,0.009,,,1.555,,,2.175,,,
sum/√ℓ (=H),7.184,,3.800,,,0.055,,,5.414,,,4.477,,,0.002,,,3.462,,,3.696,,,1.705,,,4.269,,,0.892,,,2.824,,,5.570,,,1.939,,,2.733,,,1.087,,,1.301,,,0.146,,,2.863,,,0.038,,,1.633,,,1.282,,,2.902,,,0.732,,,1.275,,,0.005,,,0.898,,,1.256,,,

■文章5,桜の花が満開になり、公園は大勢の花見客で賑わっていた。
文字,桜,,,の,,,花,,,が,,,満,,,開,,,に,,,な,,,り,,,、,,,公,,,園,,,は,,,大,,,勢,,,の,,,花,,,見,,,客,,,で,,,賑,,,わ,,,っ,,,て,,,い,,,た,,,。,,
バイト(hex),E6,A1,9C,E3,81,AE,E8,8A,B1,E3,81,8C,E6,BA,80,E9,96,8B,E3,81,AB,E3,81,AA,E3,82,8A,E3,80,81,E5,85,AC,E5,9C,92,E3,81,AF,E5,A4,A7,E5,8B,A2,E3,81,AE,E8,8A,B1,E8,A6,8B,E5,AE,A2,E3,81,A7,E8,B3,91,E3,82,8F,E3,81,A3,E3,81,A6,E3,81,84,E3,81,9F,E3,80,82
エントロピー(bits),5.072,3.156,2.412,1.229,2.164,2.536,1.781,0.193,2.367,0.707,3.178,0.896,5.004,0.459,1.392,2.547,0.033,0.366,0.024,0.795,1.262,0.276,1.431,0.007,0.609,1.398,0.361,0.812,0.179,2.863,4.937,3.043,1.212,1.522,0.000,1.217,0.704,2.908,2.930,4.779,2.175,2.626,3.381,0.240,0.425,0.314,1.330,2.784,3.269,0.166,1.353,1.803,1.183,0.572,1.657,0.093,0.693,0.721,2.040,1.792,1.803,0.171,0.004,0.113,0.389,0.000,0.000,0.857,0.001,0.000,0.986,0.834,0.320,0.823,0.005,0.935,1.285,0.476,0.640,0.040,3.201
文字パッチ番号,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,
sum,13.074,,5.816,,,4.508,,,6.267,,,6.357,,,3.967,,,1.183,,,2.976,,,2.018,,,1.353,,,10.820,,,2.739,,,4.824,,,9.873,,,6.267,,,2.074,,,6.222,,,4.328,,,2.322,,,3.449,,,3.765,,,0.507,,,0.857,,,0.986,,,1.972,,,2.220,,,1.155,,,
sum/√ℓ (=H),7.549,,3.358,,,2.603,,,3.618,,,3.670,,,2.291,,,0.683,,,1.718,,,1.165,,,0.781,,,6.247,,,1.581,,,2.785,,,5.700,,,3.618,,,1.197,,,3.592,,,2.499,,,1.341,,,1.991,,,2.173,,,0.293,,,0.495,,,0.569,,,1.139,,,1.282,,,0.667,,,

